GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO6E001,NAME_M,AUO6M001
"G1100010002201","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002201",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002201",,,"11001002201","Census Tract 22.01, District of Columbia, District of Columbia",3502,"Census Tract 22.01, District of Columbia, District of Columbia",656
"G1100010002202","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002202",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002202",,,"11001002202","Census Tract 22.02, District of Columbia, District of Columbia",3169,"Census Tract 22.02, District of Columbia, District of Columbia",766
"G1100010002301","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002301",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002301",,,"11001002301","Census Tract 23.01, District of Columbia, District of Columbia",3103,"Census Tract 23.01, District of Columbia, District of Columbia",502
"G1100010002302","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002302",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002302",,,"11001002302","Census Tract 23.02, District of Columbia, District of Columbia",1413,"Census Tract 23.02, District of Columbia, District of Columbia",224
"G1100010002400","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002400",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002400",,,"11001002400","Census Tract 24, District of Columbia, District of Columbia",3871,"Census Tract 24, District of Columbia, District of Columbia",497
"G1100010002501","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002501",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002501",,,"11001002501","Census Tract 25.01, District of Columbia, District of Columbia",2768,"Census Tract 25.01, District of Columbia, District of Columbia",757
"G1100010002503","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002503",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002503",,,"11001002503","Census Tract 25.03, District of Columbia, District of Columbia",3226,"Census Tract 25.03, District of Columbia, District of Columbia",631
"G1100010002504","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002504",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002504",,,"11001002504","Census Tract 25.04, District of Columbia, District of Columbia",3003,"Census Tract 25.04, District of Columbia, District of Columbia",548
"G1100010002600","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002600",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002600",,,"11001002600","Census Tract 26, District of Columbia, District of Columbia",2341,"Census Tract 26, District of Columbia, District of Columbia",420
"G1100010002702","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002702",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002702",,,"11001002702","Census Tract 27.02, District of Columbia, District of Columbia",6039,"Census Tract 27.02, District of Columbia, District of Columbia",807
"G1100010002703","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002703",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002703",,,"11001002703","Census Tract 27.03, District of Columbia, District of Columbia",2403,"Census Tract 27.03, District of Columbia, District of Columbia",426
"G1100010002704","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002704",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002704",,,"11001002704","Census Tract 27.04, District of Columbia, District of Columbia",2861,"Census Tract 27.04, District of Columbia, District of Columbia",644
